Date,Albuquerque,Baltimore,Boston,Charlotte,Chicago,Dallas,Detroit,Las Vegas,Los Angeles,Miami,New Orleans,New York,Philadelphia,Phoenix,Portland,San Diego,San Francisco,San Juan,Seattle,St Louis,Tampa
19610316,6.7,3.9,0.85,11.35,-1.95,18.6,-2.75,13.35,12.75,20.85,22.25,1.1,3.6,13.3,9.75,15.3,10.3,25.0,8.9,3.35,19.45
19610317,10.55,-0.3,-5.0,7.5,-1.1,12.75,-4.75,13.3,13.1,22.5,18.6,-3.9,-0.55,13.9,10.0,13.9,12.8,23.3,9.7,3.05,24.15
19610318,5.85,-1.4,-2.25,3.35,-1.1,10.85,-0.6,13.85,14.45,24.45,19.45,-3.05,0.55,13.05,10.3,13.9,11.65,25.0,10.55,3.05,24.45
19610319,4.15,3.35,0.0,8.9,1.1,7.25,3.9,12.75,13.3,25.3,16.35,1.7,2.5,13.05,8.6,14.45,11.95,24.75,8.6,2.5,23.6
19610320,7.5,6.95,1.15,12.2,2.5,7.5,2.25,15.3,13.9,25.0,17.5,4.2,6.7,15.0,6.95,14.7,10.6,24.45,7.2,4.2,22.5
19610321,11.65,4.15,-1.7,7.2,5.0,15.25,3.35,16.1,13.05,25.0,14.15,1.65,5.0,17.8,7.25,15.55,10.85,24.45,6.95,5.25,22.5
19610322,11.65,1.95,2.2,5.3,5.25,13.9,7.2,17.5,13.6,23.85,15.85,3.35,4.7,18.6,10.55,15.55,11.65,25.3,10.0,5.55,19.15
19610323,13.9,3.65,4.15,9.7,4.15,13.9,5.0,18.9,13.6,22.8,16.65,3.05,3.6,19.45,11.65,15.55,13.35,24.15,8.9,4.7,19.2
19610324,14.45,6.95,2.8,10.0,5.3,15.25,5.6,15.3,13.6,21.95,14.75,6.1,7.5,18.9,10.55,14.45,11.1,25.3,9.15,6.1,19.15
19610325,12.2,9.15,6.4,9.45,8.05,17.2,6.1,11.65,12.8,20.55,16.4,6.1,7.8,16.95,10.55,14.45,11.1,26.1,9.45,10.0,18.35
19610326,6.1,8.6,6.95,12.75,15.25,20.3,9.45,10.85,12.75,21.4,17.75,7.5,8.05,14.2,6.95,13.9,13.05,23.9,6.95,14.7,18.65
19610327,8.6,11.65,10.8,14.7,11.65,17.2,13.65,14.45,13.05,23.05,18.3,9.75,12.8,14.45,8.9,14.7,12.5,26.35,6.1,13.35,21.95
19610328,10.55,15.85,8.3,15.55,4.45,20.8,8.9,9.75,15.0,24.45,23.05,12.75,16.65,15.85,8.05,12.5,14.75,24.75,8.05,6.95,23.3
19610329,3.05,13.05,8.6,15.55,-0.3,13.35,1.65,12.8,15.55,25.0,22.5,11.95,12.75,11.95,10.25,13.05,14.15,23.35,9.45,5.25,24.45
19610330,3.3,7.5,4.45,14.45,1.35,9.45,0.8,13.6,15.0,24.45,22.25,5.0,8.35,13.6,11.4,15.0,13.35,24.15,8.35,5.3,24.45
19610331,6.4,3.1,5.85,11.7,1.7,7.75,2.2,15.8,13.9,26.95,17.75,3.9,4.75,15.0,11.65,15.85,13.6,25.0,10.0,5.55,24.45
19610401,8.6,6.7,3.05,8.9,-1.4,11.1,1.4,18.05,13.85,23.05,13.6,3.65,5.8,18.05,13.6,15.0,13.9,25.3,10.0,3.6,19.75
19610402,11.4,3.6,4.7,8.6,0.0,15.55,-1.65,20.55,16.95,22.25,12.25,4.45,5.25,20.3,15.0,20.0,17.75,26.65,10.85,2.5,16.65
19610403,15.55,5.55,4.15,8.9,2.5,15.55,-0.25,22.5,18.9,21.1,16.95,4.7,7.25,22.5,9.7,20.25,18.6,25.0,7.25,7.2,17.5
19610404,16.65,5.0,5.55,6.4,3.05,17.5,3.35,24.4,17.5,21.1,16.15,6.4,5.55,25.0,8.9,15.8,18.3,25.0,6.4,8.35,16.4
19610405,9.7,8.05,8.6,10.0,5.55,14.4,3.9,17.8,16.1,17.5,16.95,8.6,7.75,22.5,8.65,16.65,18.35,27.2,6.15,7.75,16.65
19610406,6.65,9.15,7.2,11.1,4.15,12.25,5.55,18.3,16.35,21.65,14.75,8.9,9.75,22.2,10.25,17.8,15.3,24.2,10.0,6.35,20.0
19610407,7.5,8.05,8.05,9.75,2.5,13.35,2.5,14.15,15.3,25.3,14.15,7.8,8.05,20.3,10.25,16.65,15.3,26.4,9.2,5.3,18.9
19610408,5.55,5.8,6.95,6.95,-0.25,12.8,1.65,15.0,15.0,22.2,15.3,6.7,7.2,18.65,11.65,16.4,15.55,26.4,8.9,6.4,19.75
19610409,6.95,6.1,5.85,10.55,1.7,10.6,1.65,16.15,15.3,25.3,17.5,4.7,6.7,18.05,8.85,15.55,12.8,25.55,8.65,2.5,23.3
19610410,12.5,7.75,4.15,9.2,3.6,11.95,3.05,15.85,15.0,27.2,14.15,6.4,6.95,17.75,7.2,16.1,13.9,26.95,8.6,6.1,19.45
19610411,9.7,8.3,5.3,8.6,5.3,18.05,5.55,15.8,14.45,23.6,15.85,8.35,8.9,18.35,11.65,16.4,14.75,26.95,8.35,8.6,20.55
19610412,9.7,6.4,8.35,13.3,4.75,12.8,3.9,19.15,14.7,27.5,16.4,8.3,6.7,20.0,10.85,16.1,11.9,26.4,7.5,6.65,22.8
19610413,11.9,5.55,2.8,8.6,6.95,15.3,6.4,17.2,13.85,24.15,13.05,4.75,4.45,19.7,8.9,15.8,11.65,26.95,8.85,8.6,17.5
19610414,10.85,11.1,3.9,8.6,8.9,21.95,7.2,18.6,15.55,21.1,17.5,8.05,9.15,19.45,9.45,15.55,15.0,26.4,6.95,16.1,17.5
19610415,5.85,13.35,5.0,12.8,5.8,11.1,9.4,16.7,17.75,26.65,19.15,7.8,12.5,20.25,11.7,20.0,16.95,26.95,8.35,7.5,22.5
19610416,11.65,10.85,4.45,9.15,-0.8,12.5,4.15,18.9,18.6,25.85,12.5,7.75,13.05,21.4,12.5,20.0,13.05,25.0,11.7,3.35,18.05
19610417,14.15,8.6,9.45,8.9,2.5,13.9,2.8,22.5,16.95,20.25,15.85,7.25,8.9,24.2,8.85,16.95,13.35,26.65,6.1,3.9,16.65
19610418,16.1,6.95,5.0,8.85,7.5,19.45,5.25,24.4,16.4,21.1,15.85,5.3,7.5,25.55,5.55,16.4,12.5,26.4,4.7,9.45,19.15
19610419,17.2,8.3,3.35,7.5,7.25,23.35,7.25,19.7,15.25,20.55,18.35,4.2,8.05,25.55,5.8,16.1,10.55,25.3,4.75,12.75,20.0
19610420,16.1,8.05,6.7,9.45,13.05,25.55,8.35,16.95,14.45,20.0,18.9,7.5,8.3,21.35,6.95,15.0,12.5,26.95,4.45,19.2,20.3
19610421,17.5,9.75,13.35,12.5,15.3,24.75,13.9,17.75,13.6,22.2,21.1,9.15,9.45,19.7,9.45,15.3,11.65,25.55,8.05,18.9,20.55
19610422,17.5,18.1,8.6,17.8,11.7,24.45,8.1,16.15,14.45,23.1,21.4,14.15,16.65,20.3,3.35,16.65,10.6,24.75,4.7,17.5,20.8
19610423,17.8,18.3,12.2,18.9,11.35,24.15,11.1,13.9,12.5,22.5,23.35,15.3,15.85,18.9,6.9,14.75,10.8,24.2,6.1,20.0,21.95
19610424,13.6,20.3,12.5,23.05,14.4,25.55,16.1,14.15,13.6,23.6,21.65,13.35,19.45,17.5,10.55,14.75,11.95,23.9,9.45,21.35,22.2
19610425,8.05,23.35,12.75,21.1,5.8,19.45,8.05,14.7,13.35,25.0,24.7,15.85,19.15,15.85,9.2,15.0,11.65,25.55,9.15,13.6,23.05
19610426,12.5,16.4,8.9,21.95,11.1,18.9,7.2,16.1,15.0,25.3,25.3,16.7,15.55,18.05,10.55,15.85,12.5,24.75,8.35,10.8,23.35
19610427,11.7,9.75,11.7,13.35,11.65,23.9,9.75,18.6,14.45,26.95,26.4,11.65,10.85,19.45,10.85,17.2,12.5,25.8,9.75,14.7,23.85
19610428,15.3,12.2,12.2,13.3,6.95,20.3,6.65,19.45,15.55,25.8,22.2,10.8,12.2,21.1,15.0,17.25,15.0,25.85,13.6,8.35,25.0
19610429,17.25,9.4,6.4,10.0,6.95,20.3,5.3,22.75,14.2,25.55,20.85,9.45,10.85,22.5,13.65,16.1,15.25,25.3,11.4,10.55,22.5
19610430,18.3,8.35,9.45,11.35,10.8,22.5,8.05,23.9,15.25,23.9,23.05,10.25,9.15,24.45,14.7,16.95,14.45,25.8,12.5,11.4,22.5
19610501,18.3,12.25,9.15,15.8,6.7,19.15,7.5,24.75,15.55,25.85,22.2,10.3,10.55,25.55,13.9,17.75,14.45,26.95,11.1,8.3,22.5
19610502,18.6,11.95,5.55,15.55,7.2,16.4,5.3,23.35,16.65,22.2,18.6,11.4,10.3,24.75,11.4,16.4,13.6,26.15,9.45,8.6,22.75
19610503,19.7,11.95,8.05,14.45,7.8,20.8,8.9,21.65,15.55,23.35,19.45,11.4,10.3,24.45,7.8,15.3,12.8,24.75,7.25,10.55,24.15
19610504,17.2,10.85,11.1,15.0,8.35,24.7,8.1,20.0,15.25,24.45,21.35,12.5,9.75,20.55,8.65,14.7,12.25,25.0,6.1,11.95,23.9
19610505,13.1,12.25,12.25,11.95,12.5,25.85,8.05,18.6,15.0,25.8,24.4,14.15,12.5,20.0,10.0,15.55,13.3,25.55,8.05,11.7,27.2
19610506,13.05,11.1,10.3,15.85,16.95,25.55,13.35,18.9,14.45,26.1,26.95,11.4,10.0,20.8,11.95,16.4,12.2,26.1,8.85,19.7,26.7
19610507,11.9,16.15,9.45,21.4,15.25,27.25,17.8,18.05,15.25,25.85,26.65,13.05,15.0,20.85,12.2,16.65,13.05,25.0,10.8,17.5,25.85
19610508,13.35,21.35,10.0,22.25,15.0,20.0,17.75,18.85,16.7,25.55,25.6,16.95,19.7,21.1,13.05,18.3,12.75,25.55,10.3,13.05,25.6
19610509,15.85,24.45,9.7,20.85,9.2,16.35,12.25,23.6,18.05,24.7,19.45,16.4,21.1,25.8,12.5,18.85,15.0,25.85,10.8,9.4,25.3
19610510,19.7,17.2,16.7,15.55,9.75,18.35,7.5,27.8,16.4,23.05,18.05,17.5,17.2,28.05,11.4,17.5,15.55,26.65,9.45,11.1,21.1
19610511,21.4,15.25,11.4,18.9,15.85,21.1,11.65,20.55,15.25,21.95,17.75,15.0,13.6,26.1,12.25,16.65,14.15,26.95,9.7,13.9,21.7
19610512,20.85,18.35,9.15,16.65,19.15,23.05,18.05,15.25,15.0,25.6,20.25,14.75,14.75,22.25,9.15,16.9,13.85,25.8,10.85,19.2,23.05
19610513,10.0,18.35,16.65,18.05,23.05,25.0,19.45,19.45,14.75,25.85,21.1,17.5,17.5,20.0,10.55,16.1,12.8,25.8,8.9,21.65,24.15
19610514,14.75,20.3,21.7,19.7,21.95,23.85,21.65,22.2,13.9,26.4,26.95,16.95,20.0,21.4,13.9,16.1,15.85,25.3,11.1,21.15,25.0
19610515,18.05,20.0,23.9,20.25,14.45,20.3,18.9,22.8,14.7,25.0,21.4,15.55,20.0,23.3,15.25,16.35,13.6,25.55,12.25,12.75,24.15
19610516,19.15,20.85,18.6,21.7,9.75,22.25,11.95,23.65,15.85,25.3,22.2,15.3,20.85,23.35,16.4,16.1,12.2,25.3,14.15,12.8,24.7
19610517,20.0,15.55,14.2,18.9,12.2,25.55,10.3,24.15,16.1,26.4,22.8,15.85,15.25,25.0,17.5,15.85,13.9,26.4,15.55,13.05,25.0
19610518,21.95,14.15,9.15,17.8,8.9,27.5,10.0,24.45,15.85,27.25,24.45,14.15,14.15,25.85,18.9,16.1,14.7,26.4,17.75,16.4,25.85
19610519,21.95,13.9,8.05,21.4,10.55,25.25,12.2,23.05,16.95,25.6,25.0,11.1,12.25,26.1,21.1,17.2,13.3,27.2,20.25,13.6,25.85
19610520,23.6,14.15,12.5,18.05,13.6,26.4,14.45,21.95,16.1,26.95,24.75,14.7,15.0,23.6,14.15,16.35,13.9,26.7,14.45,13.05,26.1
19610521,18.6,14.2,16.4,18.6,8.3,27.25,10.55,24.7,16.35,27.5,23.9,16.15,15.55,24.15,13.9,16.1,14.2,26.4,12.8,16.95,26.4
19610522,19.15,14.45,16.1,15.55,8.9,27.2,9.45,26.4,16.35,27.25,24.7,15.3,13.3,25.55,12.8,16.1,15.0,28.05,12.5,14.45,25.85
19610523,21.65,13.05,14.15,16.95,10.55,19.75,12.2,25.85,15.55,26.95,25.55,13.9,12.2,26.4,12.5,16.1,15.0,27.75,12.75,12.5,25.85
19610524,20.85,15.55,15.55,17.2,16.95,21.65,15.55,25.0,16.95,26.4,24.7,17.5,14.75,25.25,13.9,16.1,13.6,28.35,13.05,14.15,26.4
19610525,19.45,20.0,22.5,18.6,11.4,22.8,14.75,25.6,16.95,26.95,24.45,20.8,19.75,25.8,16.1,15.85,14.2,27.75,15.0,18.6,26.7
19610526,19.45,18.6,16.1,17.5,5.25,19.2,5.55,26.65,17.2,25.55,23.35,13.85,15.85,27.2,13.05,16.95,14.7,26.4,10.8,8.3,25.0
19610527,20.55,9.7,11.35,11.95,11.1,16.35,10.85,25.25,16.95,24.45,17.5,7.8,9.2,27.2,13.6,16.1,13.05,27.5,12.8,11.35,23.9
19610528,21.95,14.45,16.95,14.45,16.4,21.35,16.1,24.75,17.25,25.85,18.9,15.0,13.9,27.2,14.7,15.8,14.45,27.75,13.35,16.1,23.05
19610529,20.55,17.5,15.55,18.6,10.55,25.55,12.25,21.95,16.7,26.1,20.55,16.15,16.4,24.2,16.65,15.3,14.45,27.25,15.3,20.0,25.85
19610530,24.45,13.35,11.7,18.3,13.6,26.1,11.4,21.1,15.85,25.85,23.65,14.15,11.65,23.05,15.55,16.1,14.45,28.05,13.9,15.85,24.75
19610531,23.9,15.6,14.45,18.65,20.55,25.8,16.65,22.75,16.65,25.3,24.2,18.05,14.7,25.0,17.75,16.1,14.7,27.5,15.85,24.45,26.1
19610601,22.2,22.5,17.25,23.1,23.6,27.5,20.0,19.15,16.95,26.1,23.35,19.2,20.3,23.6,20.85,15.85,15.85,27.2,20.25,25.3,26.65
19610602,22.5,27.5,22.2,25.0,18.9,27.8,20.85,20.0,15.85,25.55,23.9,24.45,25.0,22.75,19.7,16.35,16.4,26.95,20.55,21.35,25.8
