Name,Gender,Age,Div,Ctry,Time
Piers Sheri L.,F,40,2,USA,161.92
Zolla Josh R.,M,25,429,USA,181.28
Robson Denise,F,43,6,CAN,179.72
Dixon Michael,M,29,46,USA,156.93
Nicholson Jen D.,F,43,4,CAN,176.02
Johnson Jim,M,34,252,USA,174.90
Keating Paula,F,45,1,CAN,168.97
Deeg Thomas J,M,31,166,USA,169.98
Wolden Cathrine,F,40,8,USA,182.48
Ricardi Joshua,M,30,82,USA,161.93
Lifka Tammy,F,41,20,USA,201.43
Evans Suzanne,F,40,7,CAN,179.83
Rodriguez Benny,M,35,180,USA,170.80
Gadrow Claire M.,F,42,89,USA,218.23
OConnorKieranJ,M,25,20,USA,150.22
Leduc Matthew,M,30,38,CAN,155.97
Kowalski Justin,M,26,36,USA,155.32
Arnstein Michael,M,35,313,USA,177.03
Peters Nathan,M,22,103,USA,164.52
Larimer Curtis J.,M,26,989,USA,197.33
Hill Paul T.,M,22,67,USA,160.32
Pierpoint Kevin D,M,36,194,USA,171.77
Siebach Karl H,M,30,51,USA,157.70
Schneider Ben,M,28,29,USA,153.88
Woo Chan Yew,M,31,512,USA,184.05
Donaghy Roger,M,33,141,USA,168.00
Hammer Peter,M,45,2,USA,165.90
Nash David,M,31,171,USA,170.30
Hicks Dustin,M,27,30,USA,153.98
Baker Jonathan E.,M,28,48,USA,157.22
Wall David L.,M,24,1671,USA,211.00
Vanbruggen Mitch D.,M,26,26,USA,153.52
Parejko James,M,27,85,USA,162.57
Browne Nicholas,M,31,3029,AUS,251.93
Kuhlmann Patrick M.,M,41,4,USA,153.02
McKenna Eamon S.,M,30,259,USA,175.55
Emanuel Michael S.,M,35,102,USA,164.52
Madut Thomas G.,M,26,37,USA,155.35
Fisher Mike,M,28,73,USA,160.72
Coon Craig R.,M,24,24,USA,152.40
Hohn Aaron,M,26,22,USA,151.23
Brigham John M.,M,26,58,USA,158.37
Perry Tim,M,28,108,USA,165.45
Robaczynski Marc,M,37,116,USA,166.23
Ormsby Kyle M.,M,27,91,USA,163.13
Roeger Brent C,M,40,85,USA,184.12
Hatton Colman,M,24,54,USA,158.17
Whitehead Josh,M,33,23,USA,151.35
McCue Daniel T.,M,35,47,USA,157.18
DAndreaShawnE.,M,24,2345,USA,227.90
Tarneja Ankur,M,30,34,USA,154.95
White Alex,M,27,228,USA,173.83
Le Diouron Alain Sr.,M,40,7,FRA,162.35
Barnacle Scott,M,37,78,USA,161.27
Williams Richard M.,M,25,2326,USA,227.43
Eanes Francis,M,24,144,USA,168.00
Lee Kam S,M,42,9,USA,163.65
Baret Sebastien,M,34,25,USA,153.32
Adams Nathan R.,M,31,98,USA,164.18
Deal Brian R.,M,27,88,USA,162.78
Beyer James,M,44,13,USA,164.20
Kurczy Stephen C.,M,29,95,USA,163.83
Hanlin Cameron,M,24,42,USA,156.15
Chichester Tim,M,23,11,USA,141.25
Burke Rich,M,44,5,USA,155.75
Hensley Mike,M,26,32,USA,154.85
Derks Andy,M,31,93,USA,163.45
Wiltse Matthew W,M,35,1588,USA,209.83
Bechard Vince C.,M,23,1538,USA,208.77
Mutinda Titus N.,M,47,23,USA,178.43
Pak Junyong,M,34,62,USA,159.38
Garnier Louis-Philippe,M,47,6,CAN,167.90
Mulcahy Seann P.,M,29,185,USA,171.33
Vona Dave,M,29,50,USA,157.45
Scheid Justin,M,26,64,USA,159.95
Herzog Ryan J,M,32,334,USA,178.20
Menzies Nicolas,M,32,2899,USA,246.47
Carriglitto Mike C.,M,36,69,USA,160.55
Kelly Joe,M,26,68,USA,160.60
Blas Wayne L.,M,34,44,USA,156.78
Keller Antony E.,M,25,89,USA,163.05
Lonac Mark,M,26,472,USA,187.42
Yi Daniel,M,31,92,USA,163.45
Shadley Jeffrey,M,43,8,USA,163.77
Ribeiro Heleno,M,39,397,BRA,180.23
Ritchie Tom C,M,38,61,USA,158.85
Theyerl Brad,M,33,3449,USA,276.15
Robinson Brad T,M,27,271,USA,175.88
Reynolds Brian A.,M,24,72,USA,160.75
Baum Justin,M,26,479,USA,182.82
Bain Christopher C.,M,34,115,USA,166.12
Morton Douglas,M,40,12,USA,164.30
Omine Chikara,M,29,220,USA,173.00
Akita James,M,31,60,USA,158.63
Lawrence Christopher R.,M,48,15,USA,174.57
Fahey Tim,M,38,97,USA,163.88
Orr Brad M.,M,25,86,USA,162.72
Brown Walter,M,40,73,USA,182.33
Lipsie Thomas L.,M,44,44,USA,176.87
Howe Jason D.,M,34,140,USA,167.93
Clendaniel Rick Jr.,M,29,96,USA,163.90
Thayer Robert W.,M,28,149,USA,168.77
Daoud Adam,M,25,308,USA,177.22
Mendoza Eric,M,27,1669,USA,211.27
Vega Montero Edwin,M,41,53,USA,178.88
Larios Carlos,M,39,129,USA,167.22
Rixe Jeffrey A,M,24,137,USA,167.73
Hall Patrick,M,27,143,USA,167.95
Palombaro Matthew F,M,36,693,USA,189.67
Sweeney James S.,M,30,516,USA,184.28
Hugo Jesse,M,23,59,USA,158.63
Baghdadi Hossein A.,M,33,1148,USA,200.77
Anderson Stephen,M,43,47,USA,178.17
OLearyBrendonP,M,30,33,USA,154.83
Reichley Thaddeus B.,M,37,283,USA,181.07
Hebda Phil,M,24,246,USA,174.83
Byrnes Gregory,M,27,133,USA,167.62
Pletcher Kyle,M,24,99,USA,164.45
Prady Jarett,M,36,389,USA,179.87
Robinson Knox,M,37,370,USA,179.15
Jaeger Jesse,M,24,147,USA,168.42
Deeg Justin M,M,31,400,USA,180.47
Walker Xaviour,M,30,278,USA,175.68
Reaves Patrick,M,27,43,USA,156.57
Norvello Alfredo,M,45,7,ITA,169.15
Walsh Karl D.,M,36,251,USA,174.95
Gibbon David G,M,45,456,CAN,217.48
Cozza Michael,M,25,1056,USA,199.40
Benson Pat,M,26,500,USA,184.18
Chefirat Anis,M,37,187,FRA,171.40
Cucuzzella Mark T.,M,45,4,USA,166.98
Kramer Ryan M,M,33,378,USA,179.57
Kristoffersen Ronny,M,38,94,USA,163.68
Shaw Robert M,M,27,2346,USA,231.02
Knutson Mike,M,32,81,USA,161.50
Coon Adam R,M,27,71,USA,160.47
Valentine Eddie,M,32,112,USA,165.93
Boyce Albert,M,47,5,USA,167.58
Engle Mj,M,41,52,USA,179.32
Roos Ulrik K.,M,36,466,DEN,182.62
Garber Kent D.,M,26,65,USA,159.88
Turner Jeff,M,39,826,USA,193.53
Condon Brian,M,25,41,USA,156.38
Ryabkov Nikolay,M,32,621,CAN,187.63
Fraser Kyle,M,31,100,USA,164.40
Crescenzo Todd R,M,35,437,USA,181.45
OLearyJoe,M,44,25,USA,171.83
Hopfner Geoff,M,30,357,CAN,178.77
Audia Giovambattista Sr.,M,41,26,ITA,172.43
Tucey Tim M.,M,30,311,USA,177.37
Meigs Tim,M,45,3,USA,166.70
Newton Mark W. Sr.,M,31,136,GBR,167.80
Vas Gabor,M,35,316,HUN,177.18
Meineke Zachary,M,24,53,USA,158.40
Levy Wayne A.,M,46,11,USA,171.55
Bair Eric,M,30,164,USA,170.00
Steinacher Helmuth,M,45,10,SUI,171.33
Benadum Blue,M,32,83,USA,162.25
Bubolz Michael J,M,27,402,USA,180.68
Chesto Jon,M,41,19,USA,169.08
Patel Ashish,M,30,66,USA,160.17
Holcombe Robert C. Jr.,M,39,1345,USA,204.52
Aitken Kyle,M,39,463,CAN,182.58
Roulier Sebastien,M,38,114,CAN,166.15
Cool Kory K.,M,24,198,USA,171.93
Levasseur Keith,M,33,457,USA,182.47
Cowan Devin,M,24,109,USA,165.90
Crusson Leif,M,35,268,FRA,175.62
Weiss Brad D,M,37,138,USA,167.62
Edstrom Dan,M,35,150,USA,168.63
Hardy Tim P.,M,36,1606,USA,210.20
Danahy Kevin M.,M,36,314,USA,177.42
Amouroux Nicolas,M,33,74,USA,160.88
Hill John,M,44,95,USA,185.12
Cater-Cyker Zachary,M,27,70,USA,160.45
Wysocki Jeremy,M,27,2382,USA,229.52
Castady Greg,M,38,598,USA,187.10
Kennedy Jason R,M,30,1683,USA,211.67
Thomas Matthew C.,M,37,156,USA,169.50
Carrier Chris P.,M,27,84,USA,162.55
Castro Gregory,M,27,152,USA,169.20
Stout Jacob O.,M,30,77,USA,161.40
Orloff Conrad F,M,42,23,USA,170.45
Dehart Evan,M,26,439,USA,181.50
Benbow Enos Jr.,M,30,208,USA,172.57
Nelson Donnie C.,M,40,695,USA,218.88
Williams Scott D.,M,33,182,USA,171.10
Luiz Rosa C. Sr.,M,61,412,BRA,290.87
Dodge Shawn C.,M,33,755,USA,191.32
Krall David S.,M,31,174,USA,170.70
McNeil Jared,M,24,2238,USA,224.77
Bradbury Samuel V,M,31,253,USA,175.07
Korth Joshua L.,M,24,276,USA,175.72
Petersen Kent,M,42,136,DEN,190.38
Turner Justin S.,M,32,206,USA,172.43
Daly Michael C.,M,36,80,USA,161.58
Royston J P. II,M,34,600,USA,187.25
Lerch Joshua,M,30,291,USA,176.27
Webster David R,M,28,1522,USA,208.28
Stone Chris C.,M,31,117,CAN,166.40
Allen Brian D.,M,40,255,USA,198.05
Fortin Matthew I,M,28,124,USA,167.13
Turco Edi,M,39,121,USA,166.73
Noonan Joe T,M,44,40,USA,176.20
Schramm Cedric,M,35,189,FRA,171.48
Porter Thomas D.,M,21,890,USA,195.07
McLean Scott A.,M,42,172,USA,192.72
Baglole Steven L.,M,35,279,CAN,175.95
Murphy Timothy A,M,40,94,USA,184.85
Lawhern Matthew F.,M,33,2015,USA,219.35
Kurtis Doug,M,60,2,USA,193.28
Pawlicki James,M,37,860,USA,194.55
Monts Taylor D.,M,26,740,USA,190.88
Gayman Brad,M,29,1515,USA,208.08
Auyeung Nick,M,28,964,USA,197.12
Leonard Daniel J.,M,25,157,USA,169.57
Bregant Sergio,M,49,36,ITA,184.45
Landry Robert,M,43,70,USA,181.68
Haskett Brian,M,40,15,USA,166.82
Spinney Chris,M,52,16,USA,180.67
McCellon Joseph V.,M,30,495,USA,183.88
Holder Jason G.,M,28,79,USA,161.35
Turner Wesley C.,M,25,39,USA,156.00
Shannon Eric,M,28,132,USA,167.75
Ade Eric T.,M,33,683,USA,189.23
Wilson Douglas A,M,30,145,USA,168.23
Brady Shamus M.,M,30,191,USA,171.53
Montgomery Justin B.,M,36,161,USA,169.75
Sloan Bradley,M,36,232,USA,173.80
Logsdon Cory M.,M,24,128,USA,167.33
Frieder Elliott,M,41,11,USA,164.08
Benson Stephen,M,44,877,USA,225.65
Armenta Carlos G Sr.,M,28,118,MEX,166.78
Dasilva Jack G.,M,27,335,USA,177.98
Giammar David R.,M,40,18,USA,168.35
Whitney Blake K.,M,29,962,USA,196.92
Stickney Timothy,M,30,523,USA,184.92
Latter Philip J.,M,30,188,USA,171.53
Richard Yannick,M,35,488,CAN,183.43
Benestad Christopher T.,M,34,201,USA,172.33
Verdi Daniel,M,29,337,USA,178.20
Chalk Lewis S,M,28,719,GBR,190.05
Stafford Erik D.,M,32,458,USA,182.65
Stanford Nathan,M,33,225,USA,173.45
Klaustermeier Jacob,M,31,126,USA,167.18
Slick Charles U. Jr.,M,26,384,USA,179.57
Dobson Matthew,M,42,235,USA,196.67
Le Moigne Olivier,M,43,401,FRA,205.32
Cipriano Robert E,M,52,2,USA,168.58
Cordova Lee,M,25,635,USA,188.35
Yane Walker,M,27,135,USA,167.52
Schersten Ben,M,32,111,USA,165.88
Talhelm Alan F,M,30,120,USA,166.97
Foley Stephen T.,M,40,82,USA,183.77
Millin John,M,29,485,USA,183.12
Benestad Brian,M,29,940,USA,196.28
Godale Mark A,M,41,441,USA,206.82
Lynch Brendan J,M,34,1775,USA,214.20
Lavine Matthew,M,38,256,USA,175.23
Ashby Robert S.,M,43,24,USA,171.27
Wolthuis Lucas W.,M,24,315,USA,177.32
Begich Mike Jr.,M,29,483,USA,182.98
Looi Alexander H,M,23,52,USA,157.97
Fulton Nick,M,25,529,USA,185.10
Mishka Phil,M,34,3646,USA,301.68
Buenting Mike,M,37,356,USA,178.85
Meyer Jayson F.,M,29,303,USA,176.93
Lestrange Patrick,M,22,1880,USA,216.43
Hartman Chris,M,27,239,CAN,174.17
Lawrence Peter W.,M,40,17,USA,167.42
Carron John B,M,41,39,USA,175.95
Bugbee Al,M,43,28,USA,172.88
McGrane Michael J.,M,41,498,USA,209.63
Hambly Scott D,M,35,2154,USA,222.50
Almeida Goncalino,M,26,468,USA,182.90
Casadio Fabio,M,30,139,USA,167.77
Davies Mike,M,35,63,USA,159.72
Dorval Guy,M,51,6,CAN,174.13
Fluhme Ulrich,M,37,230,USA,173.73
Cogdill Eric D.,M,31,229,USA,173.60
Demars Josh,M,26,428,USA,181.33
Romanic John P.,M,42,35,USA,175.05
Combs Mike,M,25,416,USA,180.93
Keshian Gregory D.,M,25,1439,USA,206.65
Bright Matthew,M,25,759,USA,191.83
Turner Jordan E,M,26,179,USA,170.83
Browning Keith,M,40,635,USA,219.70
Arguello Cristian,M,37,127,CRC,167.20
Hausenfluck Merrill J,M,40,236,USA,197.03
Haffenreffer Nicholas C.,M,45,16,USA,174.58
Smith Jacob A.,M,36,131,USA,167.57
Lejeune Johnathan,M,23,710,USA,189.85
Macneil Jonathan,M,26,2823,USA,243.08
Yeh Thomas,M,21,1825,USA,215.28
Cerbai Matteo Sr.,M,32,417,ITA,180.82
Grondin Mathieu,M,38,235,CAN,174.02
Shane Luke,M,22,248,USA,174.80
Scherbarth Mark,M,36,489,USA,183.42
Rodriguez Javier,M,37,972,USA,197.00
Sneddon Scott N.,M,49,9,USA,171.15
Gruszewski Tyler M.,M,27,405,USA,180.68
Sullivan Kevin J,M,41,31,USA,174.42
Deblander Matthew D,M,24,326,USA,177.70
Horst Kevin,M,30,158,USA,169.63
Krugger Gary,M,27,106,USA,165.18
Hay Daniel M.,M,50,1,USA,164.63
Gherardi Benjamin,M,34,677,USA,189.08
Renz Justin A.,M,40,68,USA,181.55
Smith Bradley T,M,36,1094,USA,199.98
Loftus John M.,M,54,3,USA,170.12
Serran Scott,M,28,507,CAN,184.27
St. Onge Brian A.,M,35,2832,USA,242.50
James David,M,34,574,USA,186.37
Catoggio Timothy B,M,26,1058,USA,199.28
Jaffe Andrew,M,24,151,USA,168.87
Kliot Gabriel,M,35,75,USA,161.48
Guerin Christian,M,46,13,FRA,172.72
Corbett Samuel M.,M,38,160,USA,170.02
Saari Matias,M,41,14,USA,164.92
Senior Seth A,M,25,559,USA,185.92
Pang Shuo,M,28,134,USA,167.78
Barhorst Jason,M,24,950,USA,196.67
Marmier Pascal,M,38,245,USA,174.93
Carney Alexander J.,M,21,226,USA,173.68
May Jonathan,M,43,30,USA,173.35
Kampaxis Pantelis,M,43,133,GRE,189.85
Koech Joseph Sr.,M,43,6,USA,157.67
Kolb Stuart,M,50,4,USA,171.67
Uher William V.,M,37,844,USA,194.30
Westbrook Theodore J.,M,31,1780,USA,214.43
Gurgel Bart,M,37,203,USA,172.62
Cretella Victor,M,41,155,USA,192.00
Funakoshi Yuji,M,35,1660,USA,210.85
Maggi Mark J.,M,28,205,USA,172.68
Hass Christopher L.,M,34,392,USA,179.98
Robida John M,M,31,1767,USA,213.85
Regan Brendan,M,44,243,USA,197.37
Schwartzbard Aaron,M,34,732,USA,190.87
Moore Jacob,M,28,362,USA,179.08
Power Rich M.,M,48,14,USA,173.45
Scherz Alexander C.,M,39,445,SUI,181.80
Vallee Nicolas,M,43,302,CAN,200.83
Lopez Jose J Jr.,M,27,2517,USA,233.98
Kramer Denny,M,28,423,USA,181.20
Wong Adrian,M,24,234,USA,174.22
Lickteig Kaci,F,25,37,USA,186.72
Leclerc Gerard,M,51,9,CAN,176.48
Malkowski Eric,M,29,521,USA,184.88
Frieder Jonathan,M,41,22,USA,170.23
Clayton Daniel J.,M,23,547,USA,185.43
Chorey William Jr.,M,31,622,USA,187.92
Porsgaard Rasmus,M,33,905,USA,195.90
Heintz Mark,M,28,440,USA,181.62
Erb-Satullo Nathaniel L,M,26,190,USA,171.62
Taylor John W.,M,39,469,USA,182.88
Breese Steve,M,34,435,USA,181.52
Park Michael,M,24,763,USA,192.02
Lucas Neal,M,22,172,USA,170.50
Mitchell Binney,M,43,27,USA,172.70
Hennessey Charlie A,M,52,72,USA,199.73
Haaga David,M,50,5,USA,173.97
Hite Josh A.,M,34,3671,USA,291.45
Kentner Scott,M,23,269,USA,175.83
Lawton Daniel L.,M,31,922,USA,199.60
Prevatt Joshua,M,27,562,USA,186.08
Pishny Elle,F,26,18,USA,180.23
Dockemeyer Kevin J.,M,25,199,USA,172.22
Hathaway Kyle W,M,29,436,USA,181.60
Leon Jean-Mark,M,39,492,CAN,183.70
Jeromin Matthew F,M,31,1396,USA,205.55
Guzick Will,M,23,1576,USA,209.38
Bertuglia Andrea,M,37,456,ITA,182.00
Graf Ryan M.,M,27,2059,USA,220.53
Bolha Jonathan,M,30,531,USA,185.27
Burgoyne Chris S.,M,31,294,GBR,176.60
Heffner Kyle D.,M,57,1,USA,168.78
Whelan Danny,M,29,193,USA,171.47
Green Kerry S.,M,43,816,USA,229.97
Rietsma Lee,M,34,418,USA,181.18
Caldwell Vincent,M,42,64,CAN,180.43
Aller Larry,M,33,407,USA,180.85
McElwain Tommy,M,43,313,IRL,201.77
Werner Jason,M,31,227,USA,173.73
Bambury Donald R. II,M,50,8,CAN,175.67
Stephenson Brett A.,M,41,549,USA,211.62
Heuseveldt Jeff,M,41,340,USA,202.80
George Jim,M,54,44,USA,193.80
Flores Rey,M,47,651,USA,225.48
Anis Michael,M,30,403,USA,180.53
Perez Barrios Joaquin Josue J. Sr.,M,38,306,GUA,176.82
Kieliszak Jonathan,M,30,267,USA,175.63
Cruz Luis F. Sr.,M,44,106,COL,187.08
Lazarit Crispin,M,37,154,USA,169.62
Sullivan Mark A.,M,49,208,USA,204.32
Pilling Eric,M,38,368,USA,179.30
Mollak Justin R,M,27,215,USA,172.82
Noel Eric,M,28,698,CAN,189.77
Knapp Brian,M,28,1772,USA,213.92
Tootell Jared,M,34,475,USA,186.85
Larosa Mark,M,33,1601,USA,210.00
Neiberg Leonard M,M,43,45,USA,178.07
Galeana Miguel,M,38,743,USA,191.13
Segebart Matthew J,M,37,419,USA,181.33
Rankel A.j.,M,42,146,CAN,190.92
Frome Eric L.,M,31,221,USA,172.98
Speirs Steve J,M,45,1849,USA,288.70
Gleason Peter R,M,34,153,USA,169.43
Zucconi William B,M,38,1021,USA,198.10
Babe Philippe,M,36,452,FRA,181.93
Cooper Brandon,M,24,273,USA,175.95
Liu Su-Yang,M,29,265,USA,175.72
Platt Michael P.,M,50,10,USA,176.93
Platzke Michael,M,41,89,USA,184.65
Johnston Charlie T.,M,29,487,USA,183.45
Gagnon Lee-Manuel,M,35,820,CAN,200.02
Cook David J.,M,28,122,USA,167.02
Ruckle Greg A.,M,41,258,USA,197.85
Williams Bryce J.,M,32,564,USA,186.13
Page Jeffrey,M,42,152,USA,191.75
Adams Joshua,M,38,373,USA,179.43
Jones Devin,M,31,345,USA,178.45
Wasternack Olaf,M,32,146,USA,168.23
Munoz Eddie,M,34,2403,USA,229.70
Kuklis Timothy F.,M,30,242,USA,174.52
Jacobs Paul D.,M,33,304,USA,178.53
Ueda Takeshi,M,36,1383,JPN,205.28
Von Euw Peter M.,M,49,136,CAN,199.15
Meneses Cruz A Sr.,M,40,33,MEX,175.00
Swanson Erik,M,39,1103,USA,200.23
Berard Gary A Jr.,M,35,2484,USA,241.72
Ping Ryan C.,M,35,264,USA,175.87
Scott Rodney P.,M,38,1399,USA,205.63
Elliott Layton Jr.,M,31,1466,USA,207.30
Clark Joseph,M,50,7,USA,175.12
Tokgoz Sadik,M,43,115,USA,188.48
Kelly Patrick B.,M,30,1766,USA,213.92
Kahn Michael,M,32,2843,USA,243.63
Romero Julian,M,28,995,USA,197.68
Maughon Joshua,M,26,1689,USA,211.60
Schuler Timothy,M,48,8,USA,169.60
Spencer Greg,M,32,505,USA,184.07
Pharo Per Fredrik Ilsaas,M,41,450,NOR,207.67
Warriner Lawrence,M,48,87,CAN,193.15
Beauchesne Eric,M,42,38,USA,175.80
Burke Patrick J.,M,36,606,USA,187.23
Bergman Marc,M,32,183,USA,171.48
Holroyd Jason A,M,35,1867,USA,216.02
Gaile Thomas P.,M,45,602,GBR,223.88
Megeff Jon,M,48,22,USA,177.93
Lebouvier Eric,M,46,124,FRA,197.70
Saxton Ron,M,51,53,USA,196.28
Ritter Adam,M,32,852,USA,194.23
Fernanadez Sangra Jordi Sr.,M,36,2466,ESP,231.35
Klaschus Matthew A,M,25,2405,USA,229.38
Reagan Mark J.,M,26,148,USA,169.08
Schmidt Craig A.,M,28,192,USA,171.80
Kobinsky Jeff,M,40,75,USA,182.53
Mathias Todd,M,29,454,USA,182.08
Beganics Kevin L.,M,26,209,USA,172.70
Sweeney Patrick,M,33,1154,USA,200.82
Ishikawa Koji,M,44,515,JPN,210.08
Mcdowell Dan C,M,30,385,USA,180.20
Larsson Magnus,M,32,424,SWE,181.17
Wind Anthony L,M,23,184,USA,171.28
Demarco Richard D.,M,21,332,USA,178.13
Lessek Tim,M,36,214,USA,173.10
Lloyd Chad E,M,31,1642,USA,210.90
Dolan Michael G.,M,44,81,USA,183.87
Miles William R,M,39,791,USA,192.42
Zolla Robert H.,M,28,142,USA,168.05
Garcia Salvador,M,32,1132,USA,200.53
Cleary James M,M,48,189,USA,203.22
Blount Kevin G.,M,26,1846,USA,216.00
Hurst Joshua D.,M,21,374,USA,179.53
Henning Rod G.,M,47,63,USA,188.82
Lafayette John,M,43,49,USA,178.40
Dias Ibere C. Sr.,M,35,411,BRA,180.92
Purcell Ryan,M,25,186,USA,171.42
Liebald Benjamin,M,31,297,USA,176.58
Volik Andrei,M,38,3103,USA,255.22
Diven Philip J,M,26,661,USA,188.55
Cooke Brian E.,M,32,181,USA,170.93
Riou Daniel,M,24,1712,CAN,213.48
Lewis Bradley,M,25,838,USA,194.57
Wang Xiao,M,26,104,USA,164.80
Curran Timothy J.,M,31,470,USA,183.13
Morris Alex,M,27,1361,USA,205.07
Meehan Michael T.,M,27,2448,USA,231.03
Primes James,M,25,2812,USA,241.02
Watson Jeffrey R,M,30,819,USA,193.47
Haggerty Matthew D.,M,18,178,USA,170.97
Washer William N. III,M,25,270,USA,175.85
Clay Lucius D IV,M,28,712,USA,190.13
Silvan Silvan Gustavo Sr.,M,35,202,ESP,172.40
Rhoads Colin,M,30,288,USA,176.33
Andre Ulf,M,44,194,USA,194.55
Jameson John,M,26,1317,USA,203.98
Pozzi Cesare,M,40,32,ITA,174.85
Robinson Joseph,M,25,943,USA,196.52
Mueller Michael J.,M,37,1098,CAN,199.85
Charles David,M,48,32,VEN,183.00
Free Mitch,M,34,690,CAN,189.40
Cunha Pereira Raimundo Carlos,M,43,265,BRA,198.38
Mccaffrey Paul,M,30,175,USA,171.25
Frye Adam,M,28,898,USA,195.50
Medley Remus D.,M,42,1542,USA,264.55
Barrett John S.,M,42,160,USA,192.45
Poulsen Alex M,M,22,200,USA,172.05
Warwick Kurt M,M,23,56,USA,158.32
Goldsby Thomas J.,M,42,21,USA,169.83
Hathaway David,M,40,376,USA,203.95
Kvikstad Rune,M,38,645,NOR,188.33
Plumblee Jordan L,M,21,1182,USA,201.43
Wright George E.,M,28,762,USA,191.87
Hartford Carl,M,27,113,USA,166.10
Dow Jon A.,M,24,1304,CAN,203.72
Ruljancich Shane,M,35,125,CAN,167.17
Tuddenham Robin J.,M,43,86,GBR,184.27
Rosen David M,M,26,780,USA,192.53
Kaiser Ryan,M,33,212,USA,173.10
Sheppard Abraham J.,M,37,1470,USA,207.53
Kolesnik Chris W,M,38,320,CAN,177.38
Harrison Liam,M,33,347,USA,178.33
Mccutcheon Murray W,M,37,1191,USA,201.60
Mcgraw Barry,M,40,731,USA,220.25
Stephens Robert L.,M,34,255,USA,175.30
Prowse Eric,M,33,1839,USA,215.92
Ramirez Adrian,M,24,447,USA,182.05
Huth Jeremy S,M,33,359,USA,178.80
Zhang Yu,M,28,170,USA,170.40
Ipavec Kristjan,M,32,431,SLO,181.13
Stammer Achim H.,M,50,37,GER,191.52
La Luzerne Nick D.,M,30,360,USA,179.23
Park Sung Bae,M,50,246,KOR,217.48
Kelly John A.,M,28,391,USA,179.98
Bourgeois Gilles,M,47,79,CAN,192.03
Heesch Matt,M,24,2548,USA,235.13
Garcia Diez Francisco Javier,M,43,284,ESP,199.87
Kessler Martin,M,50,423,AUT,228.03
Gerstrom Anders,M,37,1697,DEN,211.65
Buck Benjamin H.,M,22,692,USA,189.50
Hummel Jed,M,25,2072,USA,221.92
Ilfrey Campbell,M,38,680,USA,189.00
Simonson Matthew D.,M,26,434,USA,181.58
Vessey Lucas,M,27,1363,USA,204.80
Doehring John C,M,27,663,USA,188.57
McCammon Donald,M,32,1795,USA,214.72
Turner Philip J,M,27,210,USA,172.93
Desmarias Thomas,M,25,501,USA,184.12
Walters Dave,M,56,2,USA,174.57
Ezekiel Ephraim,M,54,11,USA,178.65
